initial_position,final_configuration,degree,final_rank
0,Outdoor Advertising,1,1.0
8,Tour Operator,1,1.0
1,Family,1,1.0
2,Consumer Lending,1,1.0
3,Toys,1,1.0
6,First Aid,1,1.0
4,Coffee,1,1.0
5,Digital Signage,1,1.0
9,Task Management,1,1.0
7,Stock Exchanges,1,1.0
10,SNS,1,1.0
49,Packaging Services,2,2.0
208,Desktop Apps,1,3.115
72,Ethereum,1,3.115
71,Personal Finance,1,3.115
105,Social Recruiting,1,3.115
104,Career Planning,1,3.115
129,Creative Agency,1,3.284
55,Content Discovery,1,3.284
54,Neuroscience,1,3.284
68,Assisted Living,1,3.284
99,Linux,1,3.483
123,3D Technology,1,3.483
122,B2C,1,3.483
194,Serious Games,1,3.483
118,NFC,1,3.483
80,Fast-Moving Consumer Goods,1,3.483
130,Optical Communication,1,3.724
138,Last Mile Transportation,1,3.724
87,SEO,1,3.724
136,App Marketing,1,3.724
137,Cycling,1,3.724
97,Natural Language Processing,1,4.022
140,mHealth,1,4.022
119,Film,1,4.022
101,Livestock,1,4.022
88,Mobile Advertising,1,4.022
127,Clinical Trials,1,4.022
165,Virtual Desktop,1,4.406
52,Direct Sales,1,4.406
83,Content Marketing,1,4.406
131,Consumer Software,1,4.406
107,Virtual Currency,1,4.406
126,Photography,1,4.406
92,Virtual Assistant,1,4.406
46,Local Advertising,1,4.406
145,Taxi Service,1,4.406
77,Resorts,1,4.406
117,Secondary Education,1,4.406
51,Incubators,1,4.406
96,Trading Platform,1,4.926
103,Cosmetic Surgery,1,4.926
110,Email Marketing,1,4.926
116,Charter Schools,1,4.926
69,Freelance,1,4.926
27,Skill Assessment,1,4.926
108,Lighting,1,4.926
18,Pollution Control,1,4.926
114,Nuclear,1,4.926
38,Wedding,1,4.926
89,Green Building,1,4.926
82,EBooks,1,4.926
102,Electronic Health Record (EHR),1,4.926
48,Tutoring,1,4.926
29,Edutainment,1,4.926
28,Primary Education,1,4.926
57,Craft Beer,1,4.926
59,Organic Food,1,4.926
81,Dietary Supplements,1,4.926
13,Ports and Harbors,1,4.926
14,Marine Transportation,1,4.926
22,Performing Arts,1,4.926
16,Music Streaming,1,4.926
17,Independent Music,1,4.926
232,Marketing Automation,2,5.047
167,Operating Systems,2,5.096
30,Energy Storage,1,5.683
191,Personalization,2,5.686
156,EdTech,2,5.686
41,Archiving Service,1,5.688
106,Facial Recognition,1,5.688
23,E-Signature,1,5.688
90,Augmented Reality,1,5.688
86,Coupons,1,5.688
91,Peer to Peer,1,5.688
66,Product Management,1,5.688
75,Ad Targeting,1,5.688
79,In-Flight Entertainment,1,5.688
85,Veterinary,1,5.688
60,Credit Cards,1,5.688
40,Sales Automation,1,5.688
31,Communication Hardware,1,5.688
53,Geospatial,1,5.688
62,Industrial Design,1,5.688
94,Sharing Economy,1,5.688
39,Alumni,1,5.688
63,Restaurants,1,5.688
74,Point of Sale,1,5.688
98,Consumer Research,1,5.688
37,Video Games,1,5.688
56,Business Travel,1,5.688
65,Seafood,1,5.688
76,Debt Collections,1,5.688
20,Product Search,1,5.688
45,Nutrition,1,5.688
73,Social Impact,1,5.688
25,Impact Investing,1,5.688
61,Procurement,1,5.688
67,Ride Sharing,1,5.688
33,Nightlife,1,5.688
58,Dental,1,5.688
70,Food Delivery,1,5.688
34,Recreation,1,5.688
64,Psychology,1,5.688
50,Audio,1,5.688
19,Angel Investment,1,5.688
21,Travel Accommodations,1,5.688
78,Child Care,1,5.688
12,Water Transportation,1,5.688
42,Employment,1,5.688
142,Elderly,2,5.805
244,Reputation,2,5.959
271,InsurTech,3,6.114
192,Intellectual Property,2,6.116
121,Drone Management,2,6.116
236,RFID,2,6.327
203,Corporate Training,2,6.327
286,Mobile Devices,3,6.354
148,Grocery,2,6.485
204,Billing,2,6.599
198,Video Conferencing,2,6.655
245,Contact Management,2,6.655
185,Personal Branding,2,6.655
146,Corrections Facilities,2,6.655
163,Local,2,6.866
44,Janitorial Service,1,6.961
43,Social Media Management,1,6.965
134,Residential,2,6.966
24,Building Maintenance,1,6.966
26,Delivery Service,1,6.967
36,Shipping Broker,1,6.967
35,Fleet Management,1,6.967
32,Credit,1,6.967
11,Speech Recognition,1,6.967
15,Cooking,1,6.967
234,Assistive Technology,3,6.984
216,Home Health Care,3,7.062
125,Brand Marketing,2,7.138
202,Unified Communications,2,7.138
154,Online Games,2,7.138
93,Local Business,2,7.138
111,Vacation Rental,2,7.138
150,Health Diagnostics,2,7.138
143,Genetics,2,7.138
289,Virtual Reality,3,7.144
296,DRM,3,7.284
197,Online Forums,2,7.504
213,Enterprise Resource Planning (ERP),2,7.505
186,Video Streaming,2,7.505
164,Plastics and Rubber Manufacturing,2,7.505
128,Mechanical Design,2,7.505
180,Women's,2,7.505
162,Energy Management,2,7.559
259,Ediscovery,3,7.584
196,Innovation Management,3,7.627
174,Mining Technology,2,7.77
144,Meeting Software,2,7.77
218,Productivity Tools,3,7.839
239,Call Center,3,7.928
227,Therapeutics,3,7.932
266,Flash Storage,3,7.978
223,Autonomous Vehicles,3,8.024
170,Private Cloud,2,8.041
166,SMS,2,8.044
151,Consumer Applications,2,8.044
133,Graphic Design,2,8.044
181,Electric Vehicle,2,8.044
149,3D Printing,2,8.044
175,Sustainability,2,8.044
155,Funding Platform,2,8.044
139,Film Production,2,8.044
141,GPS,2,8.044
124,Boating,2,8.044
159,Retirement,2,8.044
147,Power Grid,2,8.044
109,Travel Agency,2,8.044
120,Dating,2,8.044
100,Home Improvement,2,8.044
228,Image Recognition,4,8.05
274,Electronic Design Automation (EDA),3,8.278
257,Fitness,3,8.372
210,Alternative Medicine,3,8.372
157,Politics,2,8.409
241,Data Mining,3,8.45
222,Virtual Workforce,3,8.45
277,Private Social Networking,4,8.467
262,Price Comparison,4,8.508
305,IaaS,4,8.551
312,Intrusion Detection,4,8.616
249,Marine Technology,3,8.672
205,Property Development,3,8.672
272,Digital Marketing,4,8.694
211,Domain Registrar,3,8.718
291,E-Commerce Platforms,4,8.811
261,Personal Health,4,8.876
231,Scheduling,4,8.88
240,Professional Networking,3,8.89
285,Elder Care,5,8.934
132,Test and Measurement,2,8.948
135,Architecture,2,8.948
112,Home Renovation,2,8.948
209,Navigation,3,8.972
190,Energy Efficiency,3,8.972
187,Food Processing,3,8.972
294,Clean Energy,4,8.991
283,Smart Building,4,9.261
333,PaaS,6,9.319
225,Crowdsourcing,4,9.341
260,Social,4,9.372
308,Predictive Analytics,5,9.398
215,Jewelry,3,9.412
206,Reservations,3,9.412
168,Shipping,3,9.412
179,Beauty,3,9.412
158,Charity,3,9.412
335,Virtualization,5,9.507
287,Wearables,4,9.632
306,Computer Vision,5,9.679
195,Hotel,3,9.85
238,Lending,3,9.85
176,Humanitarian,3,9.852
183,Health Insurance,3,9.852
220,Nursing and Residential Care,3,9.852
153,Furniture,2,9.852
322,Application Performance Management,5,9.949
314,Developer Platform,6,10.144
237,Outsourcing,3,10.15
201,Broadcasting,3,10.15
200,Satellite Communication,3,10.15
161,Facility Management,3,10.15
248,Railroad,3,10.15
172,Auto Insurance,3,10.15
184,Commercial Real Estate,3,10.15
251,ISP,4,10.162
263,Product Research,4,10.162
189,Ticketing,4,10.354
247,Water,4,10.354
298,Embedded Systems,4,10.42
302,Biometrics,5,10.512
299,Fraud Detection,4,10.543
224,AgTech,4,10.543
267,Quantum Computing,3,10.554
217,Nanotechnology,3,10.59
275,Transaction Processing,4,10.614
254,Facilities Support Services,4,10.614
324,Content,5,10.655
188,Gaming,4,10.735
359,Penetration Testing,7,10.965
84,Life Insurance,2,10.989
115,Gift,2,10.989
95,Public Transportation,2,10.989
47,Water Purification,2,10.989
313,Business Information Systems,4,10.995
281,Space Travel,4,10.995
256,Lifestyle,4,10.995
246,Web Browsers,4,11.033
278,Life Science,5,11.06
177,Environmental Engineering,3,11.122
182,CleanTech,3,11.328
219,Delivery,3,11.328
269,Financial Exchanges,4,11.374
178,Wine And Spirits,3,11.376
325,Developer APIs,6,11.379
152,Universities,3,11.516
226,Real Estate Investment,4,11.634
279,Mapping Services,6,11.649
113,Simulation,2,11.797
304,Data Visualization,5,11.875
255,Semiconductor,4,11.975
229,Waste Management,4,12.014
284,Advice,4,12.015
250,Biopharma,4,12.015
341,File Sharing,8,12.13
292,VoIP,5,12.145
235,Cannabis,4,12.176
173,Translation Service,3,12.256
258,Intelligent Systems,4,12.274
295,Smart Cities,6,12.409
323,Enterprise Applications,6,12.428
268,Wealth Management,4,12.655
207,Recycling,4,12.655
327,Cloud Storage,6,12.787
354,Developer Tools,7,12.883
318,Industrial Manufacturing,6,12.94
336,Retail Technology,9,12.946
293,Freight Service,5,12.95
171,Sporting Goods,3,12.994
160,Social Entrepreneurship,3,12.994
242,Management Information Systems,4,13.077
230,Cosmetics,4,13.077
264,Mining,5,13.291
276,Mobile Payments,6,13.311
297,Higher Education,5,13.362
243,Rental,6,13.41
265,Market Research,5,13.429
311,Civil Engineering,6,13.521
331,Social Network,8,13.675
328,Small and Medium Businesses,7,13.677
169,Art,3,13.732
369,Web Apps,8,13.782
270,Air Transportation,5,13.836
315,Digital Media,7,13.989
303,Bitcoin,6,13.996
233,Leisure,5,14.008
282,Quality Assurance,5,14.078
343,Android,7,14.184
214,Farming,5,14.24
366,Enterprise,9,14.289
280,Fashion,6,14.355
288,Renewable Energy,7,14.502
340,Network Hardware,7,14.562
252,Electrical Distribution,5,14.581
253,Warehousing,5,14.581
350,E-Learning,9,14.617
317,Sports,6,14.666
378,Cloud Infrastructure,11,14.717
360,Collaboration,10,14.83
332,Document Management,9,14.966
300,Events,6,15.009
319,Property Management,8,15.149
370,Cloud Management,10,15.262
321,Venture Capital,7,15.562
339,Medical Device,9,15.574
358,Business Intelligence,10,15.583
273,Solar,5,15.725
316,Hospital,8,15.816
344,Information and Communications Technology (ICT),8,15.818
309,Shopping,7,15.901
355,Open Source,10,16.044
326,Building Material,7,16.046
345,Smart Home,8,16.132
377,Project Management,10,16.238
391,Software Engineering,13,16.254
356,Email,9,16.352
357,iOS,11,16.738
199,Music,6,16.922
290,Event Management,7,16.951
221,Home Services,5,17.015
307,Chemical,7,17.105
320,Tourism,8,17.474
301,Parking,8,17.48
368,Wireless,10,17.503
376,Technical Support,10,17.504
337,Environmental Consulting,8,17.627
330,Drones,9,17.711
382,B2B,15,17.749
342,Machinery Manufacturing,9,17.815
346,Wholesale,9,17.943
212,Public Relations,5,18.306
383,Data Integration,12,18.52
